Nash Equilibrium,Occurrences,Subsample Ratio,Max Depth
0000000100,4,0.5,10
0000010000,1,0.5,10
0000100000,3,0.5,10
0100000000,2,0.5,10
1111111111,10,0.5,10
0000000001,6,0.5,10
0000000010,4,0.5,10
0010000000,1,0.5,10
0000000001,9,0.5,100
0000000010,10,0.5,100
0000000100,10,0.5,100
0000001000,10,0.5,100
0000010000,8,0.5,100
0000100000,10,0.5,100
0001000000,8,0.5,100
0010000000,10,0.5,100
0100000000,10,0.5,100
1111111111,8,0.5,100
0111111111,2,0.5,100
0000000001,2,0.8,10
0000000010,3,0.8,10
1111111111,10,0.8,10
0100000000,2,0.8,10
0000100000,2,0.8,10
0000000001,10,0.8,100
0000000010,10,0.8,100
0000001000,10,0.8,100
0000010000,9,0.8,100
0010000000,9,0.8,100
0100000000,9,0.8,100
1111111111,10,0.8,100
0000000100,8,0.8,100
0001000000,8,0.8,100
0000100000,7,0.8,100
